Car_ID,Car_Model,Model_Year,Car_Age,Mileage_KM,Fuel_Type,Region,Components,Health_Score,Conditions,Failure_Type,Failure_Date,Maintenance_Type,Maintenance_Cost,Downtime_Hours,Service_Center,Car_Status
CAR-1123,Hatchback,2020,6,89188,Petrol,East,Suspension,28,Critical,Suspension Failure,8/21/2025,Emergency,1009.44,26,Center Epsilon,Under Maintenance
CAR-1051,Compact,2020,6,74544,Petrol,South,Cooling System,43,Critical,Overheating,1/2/2023,Emergency,716.74,50,Center Alpha,Under Maintenance
CAR-1076,Compact,2022,4,56285,Hybrid,West,Engine,73,Warning,Mechanical Failure,3/20/2024,Corrective,1477.79,7,Center Beta,Healthy
CAR-1439,Crossover,2018,8,130019,Petrol,Central,Tyre,10,Critical,Tyre Damage,7/12/2024,Emergency,403.17,20,Center Gamma,Needs Inspection
CAR-1140,Compact,2022,4,57440,Electric,South,Cooling System,54,Warning,Overheating,8/6/2024,Corrective,482.65,21,Center Alpha,Healthy
CAR-1153,Hatchback,2019,7,65911,Diesel,North,Battery,40,Critical,Battery Failure,5/26/2023,Emergency,455.34,54,Center Gamma,Under Maintenance
CAR-1163,Crossover,2024,2,26734,Petrol,West,Brake,90,Healthy,No Failure,10/23/2024,Preventive,307.85,1,Center Epsilon,Healthy
CAR-1142,Premium Sedan,2019,7,65531,Petrol,South,Brake,39,Critical,Brake Wear,7/9/2025,Corrective,398.18,16,Center Beta,Needs Inspection
CAR-1319,Premium Sedan,2023,3,43995,Diesel,North,Tyre,98,Healthy,No Failure,11/30/2024,Preventive,171.93,3,Center Gamma,Healthy
CAR-1067,Premium Sedan,2019,7,60812,Hybrid,South,Brake,43,Critical,Brake Wear,12/19/2023,Corrective,335.88,7,Center Delta,Needs Inspection
CAR-1386,Compact,2024,2,26127,Hybrid,South,Tyre,100,Healthy,No Failure,8/13/2025,Preventive,153.18,3,Center Epsilon,Healthy
CAR-1427,Crossover,2022,4,45695,Petrol,North,Brake,45,Warning,Brake Wear,1/16/2024,Corrective,450.18,15,Center Beta,Healthy
